Sample,sobs,ace,chao,shannon,simpson
SCI_6h_1_Co,8379,8379,8379,4.92667,0.02262
SCI_1d_3_Ce,7728,7728,7728,5.03002,0.02025
SCI_7d_1_Co,7289,7289,7289,4.31075,0.04426
SCI_12h_6_Il,1745,1745,1745,1.13141,0.60398
SCI_5d_1_Il,2016,2016,2016,4.84963,0.03524
Con_1_Co,8075,8075,8075,5.01665,0.02439
Sham_2_Co,8607,8607,8607,5.02577,0.02353
SCI_7d_3_Il,5323,5323,5323,3.93929,0.07349
SCI_5d_5_Il,5259,5259,5259,4.80312,0.02731
SCI_6h_2_Il,2817,2817,2817,2.98935,0.11755
SCI_7d_4_Co,8189,8189,8189,4.63185,0.03201
SCI_3m_1_Co,6884,6884,6884,3.51202,0.12231
SCI_7d_5_Ce,7659,7659,7659,4.71708,0.03696
SCI_7d_4_Ce,9016,9016,9016,4.97567,0.02197
SCI_12h_1_Il,1235,1235,1235,1.35368,0.46494
SCI_30min_1_Ce,8848,8848,8848,5.0068,0.02221
SCI_30min_4_Ce,7821,7821,7821,4.14585,0.09223
SCI_12h_1_Ce,9129,9129,9129,4.96447,0.02334
SCI_14d_5_Il,5828,5828,5828,2.98703,0.2177
SCI_0min_4_Co,7107,7107,7107,4.75057,0.03077
SCI_3d_4_Ce,8594,8594,8594,4.80891,0.03469
SCI_5d_3_Il,6602,6602,6602,3.72927,0.08557
SCI_14d_3_Il,7948,7948,7948,2.36425,0.43692
SCI_1d_6_Ce,8600,8600,8600,4.39986,0.05794
Sham_1_Ce,7244,7244,7244,4.75866,0.02833
SCI_3d_1_Ce,8871,8871,8871,5.06539,0.02182
SCI_30min_5_Co,6782,6782,6782,3.8025,0.08588
SCI_30min_5_Il,4370,4370,4370,2.18545,0.21977
SCI_2m_3_Il,6001,6001,6001,2.70224,0.20722
SCI_1m_5_Co,6794,6794,6794,3.73719,0.07861
SCI_12h_4_Co,8343,8343,8343,4.54298,0.03349
SCI_0min_4_Il,4869,4869,4869,2.15787,0.34759
Con_1_Il,6004,6004,6004,2.78467,0.14105
Con_5_Co,8214,8214,8214,4.25895,0.05794
SCI_30min_2_Il,4311,4311,4311,2.14266,0.25343
SCI_3m_5_Co,9656,9656,9656,4.93431,0.02361
Con_4_Co,6838,6838,6838,4.13839,0.05415
Sham_5_Il,5138,5138,5138,3.26374,0.08277
SCI_12h_2_Il,1903,1903,1903,1.55278,0.363
SCI_6h_5_Il,4363,4363,4363,2.3533,0.18413
SCI_3d_2_Il,1447,1447,1447,2.33224,0.34548
SCI_3m_4_Co,9177,9177,9177,4.8461,0.02322
SCI_14d_5_Ce,7357,7357,7357,4.84915,0.02569
SCI_2m_5_Il,2458,2458,2458,2.27276,0.19167
SCI_14d_2_Co,9558,9558,9558,4.73992,0.03131
Sham_5_Co,8551,8551,8551,4.9913,0.01991
